STD_YM,BLOCK_CD,X_COORD,Y_COORD,FLOW_POP_CNT_MON,FLOW_POP_CNT_TUS,FLOW_POP_CNT_WED,FLOW_POP_CNT_THU,FLOW_POP_CNT_FRI,FLOW_POP_CNT_SAT,FLOW_POP_CNT_SUN
201612,23040610401001000001,925471.3125,1932712,160.87,159.08,160.85,158.15,164.88,129.92,100.37
201612,23040610401001000001,925520.375,1932711,173.83,176.54,178.9,177.3,188.53,148.41,104.83
201612,23040610401001000001,925568.6875,1932608,744.3,745.31,756.56,744.64,781.15,546.03,399.62
201612,23040610401001000001,925522.3125,1932917,136.26,136.57,138.33,135.34,137.48,78.55,56.03
201612,23040610401001000001,925473.125,1932917,153.49,156.76,155.93,145.42,161.3,144.86,119.74
201612,23040610401001000001,925471.8125,1932763,31.48,31.3,31.52,31.61,33.21,28.87,20.59
201612,23040610401001000001,925571.875,1932968,151.94,154.33,156.37,154.98,164.81,129.74,91.64
201612,23040610401001000001,925570.125,1932762,958.03,963.72,961.88,944.17,975.73,609.66,419.78
201612,23040610401001000001,925569.625,1932711,484.11,490.64,494.06,478.22,508.45,386.6,291.85
201612,23040610401001000001,925570.625,1932814,772.56,793.76,790,773.14,791.35,534.31,351.9
201612,23040610401001000001,925422.125,1932712,278.95,277.72,281.21,275.13,282.62,187.38,141.44
201612,23040610401001000001,925519,1932557,776.07,780.43,775.6,766.75,788.44,599.83,465.7
201612,23040610401001000001,925667.875,1932710,124.92,123.37,124.88,122.17,127.13,97.51,77.02
201612,23040610401001000001,925325.125,1932867,173.05,171.14,173.05,170.14,177.39,139.79,107.98
201612,23040610401001000001,925668.375,1932761,138.44,138.78,140.56,137.54,139.7,79.81,56.93
201612,23040610401001000001,925519.5,1932609,589.54,580.09,578.03,575.98,597.31,423.31,326.86
201612,23040610401001000001,925571.375,1932916,134.21,134.55,136.26,133.33,135.41,77.36,55.17
201612,23040610401001000001,925520.875,1932763,429.1,431.23,433.8,417.11,440.64,330.91,260.39
201612,23040610401001000001,925472.1875,1932815,266.83,269.5,271.01,268.09,282.96,225.81,176.83
201612,23040610401001000001,925470.8125,1932660,138.65,136.96,138.62,135.59,141.1,108.23,85.5
201612,23040610401001000001,925421.625,1932661,518.76,520.2,526.66,518.58,540.4,391.03,286.07
201612,23040610401001000001,925372.8125,1932713,517.36,518.83,522.74,506.5,539.55,461.79,354.67
201612,23040610401001000001,925619.6875,1932813,141.98,142.36,144.16,141.07,143.3,81.86,58.39
201612,23040610401001000001,925669.8125,1932916,147.13,145.48,147.55,145.22,147.91,87.16,62.01
201612,23040610401001000001,925522.6875,1932968,128.79,129.13,130.77,127.96,129.98,74.27,52.97
201612,23040610401001000001,925422.875,1932815,203.85,204.5,207.63,205.45,217.39,166.86,125.68
201612,23040610401001000001,925669.3125,1932864,21.19,19.1,19.58,20.07,20.81,14.69,10.31
201612,23040610401001000001,925423.375,1932866,130.41,128.79,130.36,127.51,132.7,101.79,80.39
201612,23040610401001000001,925374.1875,1932867,533.54,540.09,543.83,527.6,560.5,430.02,323.33
201612,23040610401001000001,925571,1932865,138.28,138.62,140.38,137.36,139.54,79.72,56.88
201612,23040610401001000001,925620.625,1932916,251.59,250.47,253.58,248.08,254.86,168.98,127.53
201612,23040610401001000001,925519.875,1932660,25.15,22.66,23.26,23.81,24.68,17.44,12.24
201612,23040610401001000001,925521.8125,1932865,123.53,122,123.5,120.78,125.69,96.41,76.16
201612,23040610401001000001,925620.125,1932865,120.94,119.43,120.91,118.26,123.07,94.39,74.57
201612,23040610401001000001,925619.1875,1932762,385.6,388.17,394.45,388.57,419.87,333.63,247.25
201612,23040610401001000001,925470.375,1932609,583.52,582.84,590.8,580.81,604.31,428.17,322.83
201612,23040610401001000001,925472.625,1932866,464.76,466.16,468.76,462.98,473.6,318.94,229.01
201612,23040610401001000001,925373.8125,1932815,883.64,899.03,900.63,878.53,912.85,612.34,439.33
201612,23040610401001000001,925521.3125,1932814,170.53,173.23,175.52,173.95,184.97,145.62,102.83
201612,23040610401001000001,925372.375,1932661,323.05,319.25,323.51,317.59,326.47,217.53,163.26
201612,23040610401001000001,925422.5,1932764,213.05,209,205.02,207.22,210.26,110.99,81.52
201612,23040610402001000001,924231.625,1931593,38.41,37.67,36.95,37.37,37.89,20.02,14.69
201612,23040610402001000001,924280.6875,1931592,26.14,25.65,25.15,25.43,25.79,13.63,10.01
201612,23040610402001000001,924281.625,1931695,442.15,441.43,437.44,433.08,443.54,291.13,215.57
201612,23040610402001000001,924232.5,1931696,70.42,68.09,66.22,67.84,71.35,55.3,43.88
201612,23040610402001000001,924183.6875,1931747,91.28,94.9,97.27,100.67,104.35,84.94,45.59
201612,23040610402001000001,924182.8125,1931645,129.71,131.02,129.65,128.74,132.28,74.95,54.02
201612,23040610402001000001,924085.8125,1931800,171.58,168.91,166.37,166.12,176.44,132.59,102.29
201612,23040610402001000001,924232,1931644,50.02,49.09,48.15,48.65,49.37,26.06,19.15
201612,23040610402001000001,924330.375,1931643,153.07,154.44,151.47,153.79,157.16,91.8,61.13
