STD_YM|BLOCK_CD|X_COORD|Y_COORD|FLOW_POP_CNT_MON|FLOW_POP_CNT_TUS|FLOW_POP_CNT_WED|FLOW_POP_CNT_THU|FLOW_POP_CNT_FRI|FLOW_POP_CNT_SAT|FLOW_POP_CNT_SUN
201609|23040610401001000001|925520.375|1932711|148.22|144.75|127.84|128.3|139.39|122.86|89.15
201609|23040610401001000001|925669.3125|1932864|367.68|353.25|311.01|309.52|324.37|260.67|198.19
201609|23040610401001000001|925519|1932557|424.42|405.46|356.16|355.57|364.98|278.62|224.3
201609|23040610401001000001|925519.875|1932660|159.28|150.78|130.45|131.52|134|93.47|71.07
201609|23040610401001000001|925522.3125|1932917|113.62|110.67|101.41|102.45|117.1|115.44|91.26
201609|23040610401001000001|925473.125|1932917|21.81|21.44|19.87|19.52|21.5|19.44|14.51
201609|23040610401001000001|925471.8125|1932763|22.19|21.82|20.22|19.87|21.89|19.79|14.77
201609|23040610401001000001|925570.125|1932762|443.2|430.69|384.05|385.2|399.82|321.65|263.65
201609|23040610401001000001|925520.875|1932763|369.78|355.31|315.71|317.04|337.44|285.3|228.93
201609|23040610401001000001|925569.625|1932711|256.83|246.18|218.05|220.8|238|201.78|157.78
201609|23040610401001000001|925571|1932865|236.72|225.94|197.63|197.86|202.4|154.45|125.31
201609|23040610401001000001|925374.1875|1932867|1098.94|1074.34|952.82|960.94|1031.5|844.02|644.38
201609|23040610401001000001|925472.625|1932866|203.73|199.89|174.86|175.47|184.85|142.99|107.86
201609|23040610401001000001|925571.875|1932968|129.57|126.53|111.74|112.14|121.84|107.39|77.92
201609|23040610401001000001|925521.8125|1932865|151.86|147.31|131.5|133.82|131.97|90.11|83.9
201609|23040610401001000001|925372.8125|1932713|164.93|159.79|144.34|141.92|148.98|125.57|102.8
201609|23040610401001000001|925669.8125|1932916|238.82|233.14|210.35|214.37|233.39|222.46|152.85
201609|23040610401001000001|925522.6875|1932968|115.36|108.9|93.26|94.66|95.71|65.87|50.56
201609|23040610401001000001|925422.875|1932815|438.34|435.57|376.66|384.37|411.9|309.2|234.22
201609|23040610401001000001|925325.125|1932867|764.24|735.81|654.82|663.18|701.82|570.99|458.24
201609|23040610401001000001|925471.3125|1932712|274.74|262.86|231.1|230.99|237.87|184.67|148.51
201609|23040610401001000001|925519.5|1932609|166.67|157.34|134.75|136.77|138.29|95.18|73.06
201609|23040610401001000001|925668.375|1932761|123.98|117.04|100.24|101.73|102.88|70.8|54.34
201609|23040610401001000001|925470.375|1932609|315.5|306.06|277.73|276.69|301.79|274.8|222.48
201609|23040610401001000001|925472.1875|1932815|111.62|109.01|100.58|105.31|115.04|122.14|78.98
201609|23040610401001000001|925470.8125|1932660|129.42|125.01|111.81|110.35|114.26|96|81.46
201609|23040610401001000001|925421.625|1932661|153.74|148.91|133.97|132.13|138.24|117.68|97.63
201609|23040610401001000001|925521.3125|1932814|269.55|257.9|226.74|226.62|233.38|181.17|145.71
201609|23040610401001000001|925571.375|1932916|120.19|113.46|97.17|98.62|99.71|68.64|52.67
201609|23040610401001000001|925422.5|1932764|131.84|124.45|106.58|108.18|109.38|75.28|57.78
201609|23040610401001000001|925620.125|1932865|343.02|329.74|293.42|298.14|311.95|270.77|200.53
201609|23040610401001000001|925568.6875|1932608|333.65|318.75|280|279.54|286.93|219.04|176.34
201609|23040610401001000001|925619.6875|1932813|127.17|120.05|102.82|104.35|105.52|72.62|55.74
201609|23040610401001000001|925570.625|1932814|247.39|236.11|206.54|206.77|211.52|161.41|130.96
201609|23040610401001000001|925373.8125|1932815|252.53|244.96|221.82|221.57|241.81|222.32|181.12
