X|Y|Origin|Predict
925471.3125|1932712|100.37|84.07
925520.375|1932711|104.83|97.59
925568.6875|1932608|399.62|422.55
925522.3125|1932917|56.03|49.68
925473.125|1932917|119.74|93.26
925471.8125|1932763|20.59|13.70
925571.875|1932968|91.64|84.01
925570.125|1932762|419.78|474.94
925569.625|1932711|291.85|284.77
925570.625|1932814|351.9|409.93
925422.125|1932712|141.44|128.25
925519|1932557|465.7|467.46
925667.875|1932710|77.02|61.12
925325.125|1932867|107.98|91.22
925668.375|1932761|56.93|50.58
925519.5|1932609|326.86|317.29
925520.875|1932763|260.39|238.78
925472.1875|1932815|176.83|155.46
925470.8125|1932660|85.5|68.71
925421.625|1932661|286.07|289.68
925372.8125|1932713|354.67|346.94
925619.6875|1932813|58.39|52.05
925669.8125|1932916|62.01|55.71
925522.6875|1932968|52.97|46.62
925422.875|1932815|125.68|111.46
925669.3125|1932864|10.31|4.66
925423.375|1932866|80.39|64.15
925374.1875|1932867|323.33|321.21
925620.625|1932916|127.53|114.42
925519.875|1932660|12.24|6.51
925521.8125|1932865|76.16|60.34
925620.125|1932865|74.57|58.92
925619.1875|1932762|247.25|241.46
925470.375|1932609|322.83|321.08
925472.625|1932866|229.01|231.12
925373.8125|1932815|439.33|477.68
925521.3125|1932814|102.83|95.55
925372.375|1932661|163.26|151.30
925422.5|1932764|81.52|74.22
924280.6875|1931592|10.01|4.28
924232.5|1931696|43.88|31.89
924183.6875|1931747|45.59|52.19
924085.8125|1931800|102.29|86.53
924232|1931644|19.15|12.99
924330.375|1931643|61.13|59.22
924183.3125|1931696|36.43|30.04
924134.625|1931748|41.02|34.11
924135.125|1931799|118.06|103.71
924157|1934213|34.49|26.43
924206.625|1934264|235.89|260.87
924206.125|1934213|97.83|85.32
924157.375|1934265|93.33|79.56
924256.6875|1934367|41.45|32.95
924256.3125|1934315|89.57|78.98
924207|1934316|42.17|33.65
924305.8125|1934366|44.19|35.54
924304.875|1934263|104.92|94.14
924403.3125|1934262|35.8|27.38
924305.375|1934315|55.8|46.55
924304.375|1934212|61.97|64.71
924254.375|1934110|172.04|169.95
924353.625|1934212|94.81|84.12
924354.625|1934314|57.94|46.29
924205.625|1934161|77.76|67.45
924255.8125|1934264|196.7|188.50
924354.125|1934263|56.57|47.26
924255.3125|1934212|53.78|44.64
924254.8125|1934161|98.51|87.99
924303.875|1934161|91.66|81.03
924983.625|1933179|312.28|318.82
925032.8125|1933178|440.55|492.41
924934.375|1933179|542.38|570.41
925032.375|1933127|144.56|139.58
925131.125|1933177|145.76|130.15
925033.8125|1933281|538.96|582.84
925081.875|1933178|278.77|282.35
925033.3125|1933229|270.32|276.52
925082.375|1933229|254.21|257.99
924984.125|1933230|1491.62|1250.51
925029.625|1932819|134.84|119.36
925127.5|1932766|89.71|72.54
925078.3125|1932767|117.5|110.79
925078.6875|1932818|143.69|114.32
925079.1875|1932869|146.9|117.18
925127.875|1932818|71.3|65.22
925077.8125|1932715|224.44|215.01
925029.125|1932767|655.34|689.40
925279.125|1933227|112.43|105.51
925327.375|1933124|114.61|107.75
925278.625|1933176|372.65|374.18
925327.8125|1933175|167.9|214.58
925229.5|1933176|127.73|121.60
925326.875|1933073|301.59|280.10
925278.1875|1933125|271.46|250.72
924038|1931954|20.68|13.34
923140.875|1930678|2.7|-2.68
923290.375|1930882|4.73|-0.81
923192|1930883|27.32|21.58
923094.125|1930936|53.08|46.24
923143.3125|1930935|18.45|12.80
923145.625|1931192|63.65|54.74
923241.6875|1930934|37.19|31.41
923240.8125|1930831|56.38|50.59
923190.125|1930678|27.38|21.63
923338.1875|1930728|34.22|28.43
923338.6875|1930779|39.47|33.68
923543.375|1931651|26.41|20.68
922995.8125|1930936|18.16|12.53
923045.8125|1931039|24.57|21.23
922946.5|1930937|19.42|13.77
923295.125|1931396|29.2|23.44
922748.8125|1930836|21.76|16.08
924037.125|1931852|184.9|171.16
923740.625|1931700|21.89|16.21
923540.125|1931291|19.8|14.16
923588.8125|1931239|19.58|13.93
923488.125|1930983|35.64|29.76
923643.1875|1931804|30.38|21.39
923891|1932007|7.34|1.17
923694.3125|1932009|7.83|1.60
923394.375|1931498|34.09|23.46
923788.875|1931597|41.02|29.40
924237.625|1932261|26.71|19.20
923891.375|1932058|41.17|32.71
924136|1931902|90.88|77.76
923292.8125|1931139|4.39|-1.10
923294.625|1931345|3.24|-2.19
923288.5|1930677|3.06|-2.35
923493.3125|1931548|42.53|32.46
923537.8125|1931034|4.86|-0.69
923586.875|1931034|11.11|4.68
923191.625|1930832|28.6|22.85
923289.875|1930831|41.15|35.36
922847.1875|1930835|21.53|15.85
923146.625|1931295|46.44|40.59
923188.6875|1930524|22.82|17.13
923339.625|1930882|53.15|47.49
923092.3125|1930730|24.35|18.63
923242.1875|1930986|37.57|31.79
922946.125|1930886|20.14|14.48
923843.625|1932213|78.32|80.61
923640.375|1931496|19.93|14.27
923542|1931496|20.03|14.40
924086.8125|1931902|37.53|31.63
923737.8125|1931392|17.39|11.80
924286.8125|1932260|56.84|46.26
922895|1930681|20.36|11.68
923837.625|1931545|26.57|20.42
923096.875|1931244|2.75|-2.64
923343.875|1931344|3.28|-2.13
923393.375|1931395|21.69|15.89
923793.125|1932059|4.81|-0.74
923388.3125|1930830|4.93|-0.60
924042.1875|1932416|47.11|38.91
923438.375|1930932|60.93|55.34
923289.375|1930780|36.77|30.98
922996.6875|1931039|18.61|12.98
923389.6875|1930984|66.58|61.11
923139|1930473|21.82|16.14
923238.375|1930575|24.34|18.61
923291.8125|1931036|50.45|44.71
923686.8125|1931187|50.67|46.18
923542.875|1931599|61.69|52.71
922948.875|1931194|23.58|17.88
