Column       MSE            MAE            RMSE           RSE            PC             R^2            
col_0        2.07201e+01    4.54474e+00    4.55194e+00    6.38939e+02    -2.08839e-01   -6.37939e+02   
col_1        1.25626e+00    1.11941e+00    1.12083e+00    6.98729e+02    5.75698e-01    -6.97729e+02   
col_2        3.33720e-02    1.73259e-01    1.82680e-01    1.17001e+04    -3.65570e-01   -1.16991e+04   
col_3        1.81320e+00    1.34639e+00    1.34655e+00    5.57644e+04    2.74670e-01    -5.57634e+04   
col_4        1.46294e+00    1.18134e+00    1.20952e+00    7.04751e+01    -4.86882e-01   -6.94751e+01   
col_5        5.89903e+01    7.67963e+00    7.68051e+00    4.60231e+03    2.15430e-01    -4.60131e+03   
col_6        5.68927e-03    6.62434e-02    7.54273e-02    1.05426e+01    5.35400e-01    -9.54265e+00   
col_7        5.78280e-01    7.57483e-01    7.60447e-01    3.45043e+03    5.42806e-01    -3.44943e+03   
col_8        3.58864e-01    5.97559e-01    5.99052e-01    8.25054e+01    8.07564e-01    -8.15054e+01   
col_9        2.31971e-01    4.80180e-01    4.81634e-01    3.35985e+03    1.59649e-01    -3.35885e+03   
col_10       6.54867e+00    2.55426e+00    2.55904e+00    6.93176e+03    -3.11136e-01   -6.93076e+03   
col_11       2.86237e-02    1.62156e-01    1.69185e-01    3.05712e+03    4.91066e-01    -3.05613e+03   
col_12       1.89577e-01    4.29590e-01    4.35405e-01    5.97344e+01    -2.13510e-01   -5.87344e+01   
col_13       2.08433e-01    4.32415e-01    4.56544e-01    1.28195e+04    4.77778e-01    -1.28185e+04   
col_14       2.68322e-01    5.17058e-01    5.17998e-01    1.24958e+03    5.92691e-01    -1.24858e+03   
col_15       1.55833e-02    1.10700e-01    1.24833e-01    1.72594e+01    -4.36512e-01   -1.62594e+01   
col_16       3.14026e+00    1.76768e+00    1.77208e+00    1.13700e+03    -3.72443e-01   -1.13600e+03   
col_17       1.69327e+00    1.29741e+00    1.30126e+00    1.11146e+03    1.13134e-01    -1.11046e+03   
col_18       1.08612e+00    1.03507e+00    1.04217e+00    4.76112e+01    6.06397e-01    -4.66112e+01   
col_19       5.34532e-01    7.15824e-01    7.31117e-01    7.53609e+02    -8.23012e-01   -7.52609e+02   
col_20       4.22301e+00    2.04654e+00    2.05500e+00    Infinity       -3.23136e-01   -5.75155e+06   
col_21       2.94206e-01    5.39994e-01    5.42407e-01    5.55896e+02    -3.04911e-01   -5.54896e+02   
col_22       1.62074e+00    1.27020e+00    1.27308e+00    1.51444e+04    -3.15055e-01   -1.51434e+04   
col_23       2.25159e-02    1.37176e-01    1.50053e-01    4.50835e+02    -2.07917e-01   -4.49836e+02   
col_24       4.68748e-01    6.82411e-01    6.84652e-01    1.82355e+02    5.21445e-01    -1.81355e+02   
col_25       3.75110e-01    6.06478e-01    6.12462e-01    7.29652e+03    3.43229e-01    -7.29552e+03   
col_26       2.03152e+00    1.42530e+00    1.42531e+00    2.34991e+05    4.49270e-01    -2.34990e+05   
col_27       1.03441e+00    9.85805e-01    1.01706e+00    3.64639e+03    -5.86870e-01   -3.64539e+03   
col_28       1.77791e+00    1.33278e+00    1.33338e+00    4.93983e+04    -1.37624e-01   -4.93973e+04   
