X|Y|Origin|Predict
925471.3125|1932712|100.37|90.65065002441406
925520.375|1932711|104.83|104.26457214355469
925568.6875|1932608|399.62|394.2275085449219
925522.3125|1932917|56.03|53.4462890625
925473.125|1932917|119.74|101.64837646484375
925471.8125|1932763|20.59|16.503665924072266
925571.875|1932968|91.64|90.22156524658203
925570.125|1932762|419.78|424.3569641113281
925569.625|1932711|291.85|283.8288879394531
925570.625|1932814|351.9|380.201416015625
925422.125|1932712|141.44|134.08773803710938
925519|1932557|465.7|437.1585693359375
925667.875|1932710|77.02|66.59069061279297
925325.125|1932867|107.98|98.07118225097656
925668.375|1932761|56.93|54.374061584472656
925519.5|1932609|326.86|307.4284973144531
925520.875|1932763|260.39|242.23251342773438
925472.1875|1932815|176.83|163.21994018554688
925470.8125|1932660|85.5|74.55233001708984
925421.625|1932661|286.07|285.3373107910156
925372.8125|1932713|354.67|343.7351989746094
925619.6875|1932813|58.39|55.88469696044922
925669.8125|1932916|62.01|59.73320388793945
925522.6875|1932968|52.97|50.2910041809082
925422.875|1932815|125.68|118.3663330078125
925669.3125|1932864|10.31|6.7868804931640625
925423.375|1932866|80.39|69.7657699584961
925374.1875|1932867|323.33|316.03277587890625
925620.625|1932916|127.53|120.32794189453125
925519.875|1932660|12.24|8.735809326171875
925521.8125|1932865|76.16|65.77733612060547
925620.125|1932865|74.57|64.28192901611328
925619.1875|1932762|247.25|245.66448974609375
925470.375|1932609|322.83|311.1512756347656
925472.625|1932866|229.01|230.88754272460938
925373.8125|1932815|439.33|435.0362243652344
925521.3125|1932814|102.83|102.15919494628906
925372.375|1932661|163.26|156.64157104492188
925422.5|1932764|81.52|77.73186492919922
924280.6875|1931592|10.01|6.252601623535156
924232.5|1931696|43.88|35.614776611328125
924183.6875|1931747|45.59|56.59778594970703
924085.8125|1931800|102.29|92.76256561279297
924232|1931644|19.15|15.257221221923828
924330.375|1931643|61.13|62.96593475341797
924183.3125|1931696|36.43|33.21425247192383
924134.625|1931748|41.02|37.02930450439453
924135.125|1931799|118.06|108.89276123046875
924157|1934213|34.49|29.895904541015625
924206.625|1934264|235.89|263.4239196777344
924206.125|1934213|97.83|91.53935241699219
924157.375|1934265|93.33|85.85697937011719
924256.6875|1934367|41.45|36.7777099609375
924256.3125|1934315|89.57|84.94878387451172
924207|1934316|42.17|37.50994110107422
924305.8125|1934366|44.19|39.5042839050293
924304.875|1934263|104.92|100.58375549316406
924403.3125|1934262|35.8|30.868213653564453
924305.375|1934315|55.8|51.09690856933594
924304.375|1934212|61.97|70.01053619384766
924254.375|1934110|172.04|174.77691650390625
924353.625|1934212|94.81|90.26490783691406
924354.625|1934314|57.94|51.16448211669922
924205.625|1934161|77.76|72.96221923828125
924255.8125|1934264|196.7|193.17543029785156
924354.125|1934263|56.57|51.8460693359375
924255.3125|1934212|53.78|49.087310791015625
924254.8125|1934161|98.51|94.33629608154297
924303.875|1934161|91.66|87.06346893310547
924983.625|1933179|312.28|314.310546875
925032.8125|1933178|440.55|437.6176452636719
924934.375|1933179|542.38|539.1748046875
925032.375|1933127|144.56|146.99630737304688
925131.125|1933177|145.76|137.44757080078125
925033.8125|1933281|538.96|531.0201416015625
925081.875|1933178|278.77|285.4301452636719
925033.3125|1933229|270.32|275.27685546875
925082.375|1933229|254.21|258.78045654296875
924984.125|1933230|1491.62|1298.4228515625
